,grav
185179,3
55789,4
28769,3
242320,4
60144,4
164441,4
219791,1
119778,3
84658,4
55646,3
131370,4
74382,1
138744,3
55593,4
108326,4
230136,1
217548,1
255979,1
123623,1
255399,1
173306,1
229845,4
327460,3
108784,3
227499,1
187508,4
295709,1
243793,1
16702,1
259557,1
121600,1
31569,1
43046,1
191450,4
115886,4
124000,4
240199,3
318633,1
203910,1
300911,1
67627,1
51263,3
260630,4
122774,1
96653,1
246314,3
157661,3
135569,4
216150,1
317626,1
122306,1
160497,1
3641,1
320843,4
7454,4
180393,3
39850,4
189259,4
282366,1
47922,2
146871,1
140007,4
188272,1
220986,4
44597,4
76047,3
212094,1
97500,1
227313,4
155985,3
170942,4
229368,4
58587,4
189630,3
90683,4
297949,3
76119,3
326417,3
98002,1
18693,4
239915,4
22573,4
314690,4
225644,4
162133,4
115244,4
51336,1
284814,1
112433,4
154912,1
286533,1
67841,3
146700,4
60325,4
30235,1
229695,4
221140,4
92618,4
301767,4
68129,1
10437,4
126640,4
187272,4
44028,4
266648,4
7665,4
63101,1
6113,1
311444,4
127663,1
173564,1
43276,4
210070,4
219092,1
287791,4
199677,4
230990,1
20477,4
180308,1
302544,1
55107,4
99280,4
94165,4
216409,1
316201,4
146858,1
25127,1
14675,1
169651,2
327027,3
131424,1
145592,1
196519,4
215639,4
259634,4
175823,4
160091,1
289129,4
232200,4
84997,1
33569,1
155891,1
147110,3
164616,4
249619,1
172137,4
228190,1
210507,1
155981,1
133409,4
244554,1
52418,1
110292,1
138532,4
24407,4
249239,3
278157,1
52756,4
178688,4
97594,4
124895,1
188995,3
136734,4
299323,4
177754,2
219668,1
112719,3
318642,4
231836,4
76983,4
264774,3
229577,1
131891,1
178790,4
66250,4
274557,4
185356,4
257694,1
8579,3
9577,4
216759,4
164100,3
166514,4
203565,4
301624,1
195507,4
325166,4
11691,1
303806,4
52905,1
180862,3
132074,4
84494,1
290771,4
255908,4
21097,4
108342,1
113692,4
1909,4
105236,4
107811,4
5129,1
262568,1
326744,1
214830,4
121955,1
238188,4
279938,1
7242,4
304576,1
151274,1
312660,4
90425,1
33200,3
127939,1
269400,1
152894,1
27318,1
216331,1
25582,3
45878,4
314660,4
197510,1
69327,1
252968,1
188250,1
241272,1
56211,2
186812,1
81538,1
106512,2
317154,1
143627,4
89427,4
98523,4
285048,3
41252,3
289796,4
86339,1
154392,3
237413,1
1101,1
168979,4
71617,3
205737,1
111531,1
192663,4
209227,1
80046,1
99011,4
312346,3
198150,4
11510,4
28707,2
88271,1
261976,3
95751,2
321487,4
21980,1
29083,1
215948,4
222712,4
249234,4
44321,4
303190,1
231665,3
79718,1
102808,4
21109,4
19390,1
80220,3
35763,4
124330,4
312804,4
120912,3
242467,3
255638,1
165608,1
160601,3
311148,1
94082,1
245427,4
152329,4
218150,1
249112,1
15248,1
276959,4
257358,4
182760,1
166414,1
165646,4
20038,4
207569,1
288217,4
66936,3
44053,1
239572,1
174194,1
281242,4
272551,4
281006,1
281746,4
54309,1
188113,2
204844,3
284028,4
234959,4
259845,1
189506,4
38607,1
149133,1
212336,1
251963,2
139775,1
214273,1
144463,4
262562,4
233411,1
53569,1
264834,1
113054,1
28148,3
156916,1
203791,1
272303,1
313566,1
182365,1
81962,4
236308,1
234863,4
72860,1
114895,1
304293,1
200153,1
130030,4
248873,1
129583,4
65997,1
99609,4
202786,4
15317,3
251496,3
8433,2
163749,1
248641,1
63073,4
230080,3
11961,1
32904,1
175048,4
85798,4
314348,1
86216,1
47746,3
79643,1
24505,1
227068,4
1656,1
311923,4
173443,1
257119,3
162089,1
7390,1
289660,4
92066,1
68725,4
23412,1
153743,4
39078,1
38572,1
284637,1
146589,4
184770,4
158631,1
47555,4
202529,1
249766,4
282686,1
16503,3
86837,1
47178,1
215446,3
293062,1
103437,1
166255,3
7537,3
110939,1
288670,1
120895,1
209559,4
117737,4
53539,1
122725,1
287310,1
157118,1
78961,4
106669,4
138169,4
16479,1
83229,3
223548,4
128670,3
203104,4
121425,3
254912,4
317356,1
1871,4
197551,1
185436,3
256641,1
279437,1
275096,1
758,4
25683,1
162763,4
281044,4
159794,3
226547,1
92423,1
224292,3
152451,1
34406,1
228995,3
233734,1
87995,3
182434,4
90787,4
19768,4
2679,4
9153,1
182113,4
55366,3
32496,4
197631,3
76644,1
114979,1
65477,1
109909,1
29828,1
67438,4
284415,1
72605,3
98544,1
121575,3
227830,4
176978,1
263472,1
309726,4
144158,4
64005,1
236644,1
5116,4
128752,1
219986,4
104862,3
270767,4
303536,1
91915,4
228657,4
165734,3
244201,1
23096,4
6843,4
48349,4
14368,4
84543,1
327829,1
222728,1
95319,4
160604,1
266327,4
47184,4
78999,4
78812,1
8846,4
248470,1
289251,1
122933,1
313311,1
180683,4
287055,1
91847,4
313437,1
288526,4
315536,1
32451,1
